file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,210,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,52
style.css,211,css,7a4f8eb0,Rosey G,2025-02-08,18:10:46,-08:00,2025-02-08T18:10:46-08:00,0,15
style.css,212,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,213,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,214,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,11
style.css,215,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,45
style.css,216,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,53
style.css,217,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,67
style.css,218,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,58
style.css,219,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,48
style.css,220,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,221,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,222,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,17
style.css,223,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,63
style.css,224,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,50
style.css,225,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,55
style.css,226,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,227,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,0
style.css,228,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,4
style.css,229,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,48
style.css,230,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,45
style.css,231,css,b4a6c862,Rosey G,2025-02-07,21:25:21,-08:00,2025-02-07T21:25:21-08:00,0,50
